pid,max_value_column,max_value,date
D20240215T150055_IFCB010_00001,nanoplankton_mix,0.7495,20240215
D20240215T150055_IFCB010_00002,fiber,0.9995,20240215
D20240215T150055_IFCB010_00003,Rhizosolenia,0.998,20240215
D20240215T150055_IFCB010_00004,detritus,1.0,20240215
D20240215T150055_IFCB010_00005,detritus,0.962,20240215
D20240215T150055_IFCB010_00006,Cylindrotheca_morphotype1,0.9893,20240215
D20240215T150055_IFCB010_00007,Cryptophyta,1.0,20240215
D20240215T150055_IFCB010_00008,detritus,0.997,20240215
D20240215T150055_IFCB010_00009,nanoplankton_mix,0.9995,20240215
D20240215T150055_IFCB010_00010,detritus,0.9995,20240215
D20240215T150055_IFCB010_00011,detritus,0.834,20240215
D20240215T150055_IFCB010_00012,nanoplankton_mix,0.727,20240215
D20240215T150055_IFCB010_00013,nanoplankton_mix,0.9956,20240215
D20240215T150055_IFCB010_00014,detritus,1.0,20240215
D20240215T150055_IFCB010_00015,nanoplankton_mix,0.9995,20240215
D20240215T150055_IFCB010_00016,Bacillariophyceae,0.917,20240215
D20240215T150055_IFCB010_00017,detritus,1.0,20240215
D20240215T150055_IFCB010_00018,detritus,0.994,20240215
D20240215T150055_IFCB010_00020,nanoplankton_mix,0.967,20240215
D20240215T150055_IFCB010_00021,detritus_transparent,0.713,20240215
D20240215T150055_IFCB010_00024,fiber,1.0,20240215
D20240215T150055_IFCB010_00025,nanoplankton_mix,0.9067,20240215
D20240215T150055_IFCB010_00026,fiber,0.9995,20240215
D20240215T150055_IFCB010_00027,fiber,0.9995,20240215
D20240215T150055_IFCB010_00028,Acanthoica_quattrospina,0.7905,20240215
D20240215T150055_IFCB010_00029,nanoplankton_mix,0.9326,20240215
D20240215T150055_IFCB010_00030,nanoplankton_mix,0.801,20240215
D20240215T150055_IFCB010_00031,fiber,0.992,20240215
D20240215T150055_IFCB010_00032,detritus,0.547,20240215
D20240215T150055_IFCB010_00033,Apedinella,0.3958,20240215
D20240215T150055_IFCB010_00034,nanoplankton_mix,0.998,20240215
D20240215T150055_IFCB010_00035,Asterionellopsis_glacialis,1.0,20240215
D20240215T150055_IFCB010_00036,Cryptophyta,0.6216,20240215
D20240215T150055_IFCB010_00037,Prorocentrum_micans,0.991,20240215
D20240215T150055_IFCB010_00038,Heterocapsa_rotundata,0.3645,20240215
D20240215T150055_IFCB010_00039,detritus,0.7793,20240215
D20240215T150055_IFCB010_00040,nanoplankton_mix,0.993,20240215
D20240215T150055_IFCB010_00041,detritus,0.9995,20240215
D20240215T150055_IFCB010_00042,Leptocylindrus,1.0,20240215
D20240215T150055_IFCB010_00043,nanoplankton_mix,0.999,20240215
D20240215T150055_IFCB010_00044,nanoplankton_mix,0.409,20240215
D20240215T150055_IFCB010_00045,Chrysochromulina,0.5723,20240215
D20240215T150055_IFCB010_00046,nanoplankton_mix,0.9995,20240215
D20240215T150055_IFCB010_00047,detritus,0.976,20240215
D20240215T150055_IFCB010_00048,fiber,1.0,20240215
D20240215T150055_IFCB010_00049,detritus,0.981,20240215
D20240215T150055_IFCB010_00050,Leptocylindrus,0.994,20240215
D20240215T150055_IFCB010_00051,detritus,0.9995,20240215
D20240215T150055_IFCB010_00052,Syracosphaera_pulchra,0.8486,20240215
D20240215T150055_IFCB010_00053,nanoplankton_mix,0.973,20240215
D20240215T150055_IFCB010_00055,Cryptophyta,0.9995,20240215
D20240215T150055_IFCB010_00056,Leptocylindrus,0.9995,20240215
D20240215T150055_IFCB010_00057,detritus,0.864,20240215
D20240215T150055_IFCB010_00058,nanoplankton_mix,0.9995,20240215
D20240215T150055_IFCB010_00059,detritus,0.999,20240215
D20240215T150055_IFCB010_00060,detritus_transparent,0.9336,20240215
D20240215T150055_IFCB010_00061,Leptocylindrus,0.9995,20240215
D20240215T150055_IFCB010_00062,detritus,0.5884,20240215
D20240215T150055_IFCB010_00063,flagellate,0.6006,20240215
D20240215T150055_IFCB010_00064,nanoplankton_mix,0.9995,20240215
D20240215T150055_IFCB010_00065,Dactyliosolen_blavyanus,1.0,20240215
D20240215T150055_IFCB010_00066,fiber,0.765,20240215
D20240215T150055_IFCB010_00067,nanoplankton_mix,0.791,20240215
D20240215T150055_IFCB010_00069,detritus,0.9917,20240215
D20240215T150055_IFCB010_00071,Bacillariophyceae,0.962,20240215
D20240215T150055_IFCB010_00072,nanoplankton_mix,0.9204,20240215
D20240215T150055_IFCB010_00074,flagellate,0.8213,20240215
D20240215T150055_IFCB010_00075,nanoplankton_mix,0.993,20240215
D20240215T150055_IFCB010_00076,Bacillariophyceae,0.4695,20240215
D20240215T150055_IFCB010_00077,nanoplankton_mix,0.884,20240215
D20240215T150055_IFCB010_00078,detritus,0.999,20240215
D20240215T150055_IFCB010_00079,nanoplankton_mix,0.9946,20240215
D20240215T150055_IFCB010_00080,Tintinnina,0.4807,20240215
D20240215T150055_IFCB010_00081,Cryptophyta,1.0,20240215
D20240215T150055_IFCB010_00082,fiber,1.0,20240215
D20240215T150055_IFCB010_00083,fiber,0.999,20240215
D20240215T150055_IFCB010_00084,fiber,0.972,20240215
D20240215T150055_IFCB010_00085,detritus,0.504,20240215
D20240215T150055_IFCB010_00086,detritus,0.997,20240215
D20240215T150055_IFCB010_00088,nanoplankton_mix,0.99,20240215
